;Pavadinimas
0;Landynė daugiabutyje: ar gali būti blogiau?
1;Smarkios avarijos Ramučiuose liudininkai: kalti neveikiantys šviesoforai! (papildyta)
2;Už šūkį „šlovė Ukrainai“ – išpuoliai prieš lietuvius užsienio kurortuose 
3;Kauno centre – girto vairuotojo šou: nukentėjo keleivis
4;„Vičiūnų grupė“ pardavė gamyklą Kaliningrade  
5;Orai: kai kur Lietuvoje iš dangaus krito snaigės
6;Mugė Laisvės alėjoje – dar gausesnė
7;Lietingą rytą Kaune lydėjo avarijos
8;Žada, kad iki 2050-ųjų žuvusiųjų avarijose nebebus: kliedesiai ar realybė?
9;„Vičiūnų grupė“ pardavė gamyklą Kaliningrade  
10;Landynė daugiabutyje: ar gali būti blogiau?
11;Mugė Laisvės alėjoje – dar gausesnė
12;VRK: dovanodamas gėles moterims Kaziuko mugėje I. Vėgėlė papirkinėjo rinkėjus
13;Sužydėjusios Kauno puošmenos džiugins iki pat rudens 
14;Ilgapirščių taikinys – 25 tūkst. eurų vertės kauniečių „Mercedes-Benz“
15;Nacionalinis kultūros forumas mėgins sujungti, kas sunkiai sujungiama, – kultūrą ir verslumą
16;Elektromobilių vairuotojus Kaune pasitinka pokyčiai: atsiskaitymas už įkrovimą – mobiliąja programėle
17;45-asis „Lietuvos teatrų pavasaris“ kviečia Kauno publiką į teatrališką savaitę
18;Išskirtinėje vietoje – prestižiniai „Kauno panoramos“ apartamentai
19;Kaune tiriant galimai apgaule įgytas ES lėšas – įtarimai devyniems asmenims, du suimti 
20;R. Jatkevičiūtės-Kasparavičienės sielos peizažai
21;Liūčių tvindomame Dubajuje esantis lietuvis: nustėrau pamatęs apsemtą aštuntą viešbučio aukštą
22;Kauną užplūs skandinaviškos kultūros banga
23;Maironio lietuvių literatūros muziejui toliau vadovaus D. Cibulskienė
24;Nufilmuota: ką daryti su nevalyvais ir neblaiviais keleiviais? 
25;Po nuogąstavimo dėl per siauros sankryžos – atsakas: viskas apskaičiuota
26;Viešojo transporto grimasos: keleiviai sugrūsti kaip silkės
27;Iš Šiaulių „Akropolio“ buvo evakuoti žmonės
28;Ukmergės gatvėje neliks 35 medžių: kas čia planuojama?
29;Vėl pirštu beda į Trijų mergelių tilto defektus: jei taip toliau, viskas bus sulopyta
30;Nufilmuota: ką daryti su nevalyvais ir neblaiviais keleiviais? 
31;Po nuogąstavimo dėl per siauros sankryžos – atsakas: viskas apskaičiuota
32;Viešojo transporto grimasos: keleiviai sugrūsti kaip silkės
33;Iš Šiaulių „Akropolio“ buvo evakuoti žmonės
34;Žiurkėnas mumyseReikia saugoti savo kailiuką, nes gyvename...
35;Ar prezidento vadovaujama Valstybės gynimo taryba nieko nebereiškia? Lietuvą pasiekė puiki žinia – Vokietijos...
36;Po Sibirą – be vadovoĮpusėjus 1911-ųjų vasarai, Josifas...
37;Naujam gyvenimui kylančioje Kauno dalyje „YIT Lietuva“ baigė statyti pirmuosius „Matau Kauną“ namus
38;Išankstinis laidotuvių planavimas: šia tema kalbėti verta 
39;Medicinos centre „Northway“ Kaune – itin platus sveikatos priežiūros paslaugų spektras
40;„Lidl Lietuva“: ir toliau didinsime parduotuvių bei logistikos centro darbuotojų atlyginimus
41;Projekto „Krėvės80“ penkiaaukštis – komplekso pažiba
42;„YIT Lietuva“ būsto pardavimai – 39 proc. didesni 
43;Naujam gyvenimui kylančioje Kauno dalyje „YIT Lietuva“ baigė statyti pirmuosius „Matau Kauną“ namus
44;Išankstinis laidotuvių planavimas: šia tema kalbėti verta 
45;Medicinos centre „Northway“ Kaune – itin platus sveikatos priežiūros paslaugų spektras
46;„Lidl Lietuva“: ir toliau didinsime parduotuvių bei logistikos centro darbuotojų atlyginimus
47;Landynė daugiabutyje: ar gali būti blogiau?
48;Dėl galios STT per gyvenimus važiuoja buldozeriu?
49;Policijos pareigūnas: valgyt noriu, na**ui man, protokolai b**t
50;J. Plisienė: kas tu esi, kai tau niekuo nereikia būti?
51;Į kompensuojamųjų vaistų rezervinį sąrašą įtraukti vaistai nuo cistinės fibrozės
52;Specialistė apie lytiškumo suvokimo problemas: lietuviai nori, bet nežino, kaip tai  pasakyti
53;Klaiki situacija: apie savižudybes galvoja ir 9-mečiai
54;Pacientų pavėžėjimu rūpinsis nebe savivaldybės, o Greitosios medicinos pagalbos tarnyba
55;VLK priminė pacientų teises ir atsakomybę už savo sveikatą 
56;A. Dulkys tikisi, kad vaistai nuo cistinės fibrozės taps kompensuojami dar šiemet
57;PSDF finansuoja naujus tyrimus ir procedūras prostatos, krūties vėžio, žarnyno infekcijoms gydyti
58;VSAT siūlo griežtinti taisykles pasienyje su Rusija
59;Žiniasklaida: V. Semeškai paliekant KAM, Gynybos resursų agentūroje dirbti pradėjo jo marti
60;Sukčiavimo schema, kai tampate nusikaltėlių bendrininku
61;A. Bilotaitė sukritikavo prezidentą: apie L. Volkovo užpuolikų sulaikymą turi komentuoti tarnybos
62;Likus kelioms savaitėms iki paskutinių tarpinių patikrinimų, NŠA papildomai peržiūri užduotis
63;G. Landsbergis: tankų galime laukti, oro gynybos reikia šiandien
64;Ministras: tokie įvykiai, kaip Izraelio ataka, didina visa apimančio konflikto riziką
65;Tvarumo tendencija: vis daugiau drabužių keliauja iš rankų į rankas
66;Desertai sveikiau – ką rinktis saldžiam kąsneliui prie kavos?
67;Pavasario mados tendencija: provokacija drąsai ir išskirtinumui
68;Pavasario mada – atraskite tris moteriškos pavasario mados tendencijas gaiviam garderobui
69;Mada – menas ar komercija?
70;Aktyvusis stilius: derinti tai, kas atrodo nesuderinama
71;Pateikė daugiau detalių: L. Volkovo užpuolimu Vilniuje įtariami du Lenkijos piliečiai
72;Maitinimo sektoriaus atstovų protestas prie Vyriausybės: prašo grąžinti lengvatinį PVM tarifą
73;„Orlen Lietuva“ atlygino 146 tūkst. eurų į jūrą išsiliejusios naftos sukeltą žalą
74;Dominuojanti sporto šaka uostamiestyje – plaukimas
75;„Kauno dienos“ studijoje – K. Kėvalas: darbas nėra įsakytas, o šventė yra įsakyta
76;„Kauno dienos“ studijoje – G. Duoblys: kaip apsaugoti vaikus nuo narkotikų?
77;„Kauno dienos“ studijoje – jėgos trikovės čempionas D. Kasulis: mus limituoja galva, ne kūnas
78;„Kauno dienos“ studijoje – R. Kurtinaitis: vanduo, duona ir malda nepadės laimėti
79;„Kauno dienos“ studijoje – J. Mačiulis: dėl pirmos krizės komandos nereikia ardyti
80;„Kauno dienos“ studijoje – A. Žiurauskas: tebūnie prakeikta diena, kai hobį paverčiau darbu
81;VERT įpareigojo „Amber Grid“ pakeisti GIPL detales su rusiškomis žymėmis
82;„LTG Link“ pasirašė 200 mln. eurų paskolų sutartis su NIB ir EIB traukiniams įsigyti
83;Maitinimo sektoriaus atstovų protestas prie Vyriausybės: prašo grąžinti lengvatinį PVM tarifą
84;„Orlen Lietuva“ atlygino 146 tūkst. eurų į jūrą išsiliejusios naftos sukeltą žalą
85;Lietuvoje startuoja Graikijos „Aegean Airlines“ – dukart per savaitę skraidins į Atėnus
86;„Maxima“ kviečia dirbti: apmokome, suteikiamas transportas, apgyvendinimas bei nemokamas maitinimas
87;Lietuvos specialistai nuskenavo Bučos ir Borodyankos teritorijas Ukrainoje: buvo apgadinti dronai
88;Po pranešimo apie smūgį Iranui ES vadovė paragino šalis susilaikyti nuo tolesnių veiksmų
89;Izraelio ministras, užsiminęs, kad už sprogimų Irane stovi Izraelis, sulaukė pasmerkimo
90;Prancūzijai areštavus buvusios V. Putino žmonos partnerio vilą – Kremliaus kritika
91;Niujorke atrinkti D. Trumpo baudžiamosios bylos prisiekusieji
92;Latvijos užsienio reikalų ministre patvirtinta B. Bražė
93;Latvijos moksleiviai turės galimybę nesimokyti rusų kaip antrosios užsienio kalbos
94;D. Trumpas: Europa turėtų suteikti Ukrainai daugiau pagalbos
95;Dominuojanti sporto šaka uostamiestyje – plaukimas
96;Krepšinio trileris Klaipėdoje: du pratęsimai, 226 taškai
97;			Marijampoliečiai dramatiškai palaužė „Olimpą“ ir išlygino bronzinės serijos rezultatą
98;„Rytas“ pagerbė legendą, triumfavo ir pristatė jaunąjį savo debiutantą
99;Visų laikų rekordą pagerinęs A. Ebo nukalė triuškinančią pergalę prieš Jonavos ekipą
100;Oficialu: „Žalgiris“ sukirto rankomis su D. Riversu
101;Iki motociklų sezono pradžios liko labai nedaug: kas laukia šiemet?
102;Ne kartą baustas panevėžietis už kontrabandą vėl pakliuvo į pasieniečių akiratį
103;Tris pėsčiąsias sužalojusiam neblaiviam pavežėjui siūloma užsegti apykoję
104;Pateikė daugiau detalių: L. Volkovo užpuolimu Vilniuje įtariami du Lenkijos piliečiai
105;Vilniuje sustabdytame automobilyje – įtartini radiniai, vairuotojas uždarytas į areštinę
106;Vilniuje ir Vilniaus rajone galimai smurtauta prieš mažamečius
107;Vilniuje iš moters išvilioti 6 tūkst. eurų
108;Alytuje išgertuvių metu vyras, įtariama, išžagino moterį
109;Venecijos šiuolaikinio meno bienalėje atidaromas Lietuvos paviljonas
110;Už viso gyvenimo nuopelnus Lietuvos kultūros paveldui apdovanoti J. Glemža, R. Jaloveckas
111;Princas Williamas pirmą kartą po Kate vėžio diagnozės grįžo prie viešųjų pareigų
112;EŽTT nepriėmė F. Kirkorovo skundo dėl draudimo atvykti į Lietuvą
113;Spektaklyje „Atžalynas“ – vertybių priminimas
114;P. Gražulis apie romantiškų santykių atnaujinimą su dukters mama Birute: gal yra tas noras
115;Mažosios Lietuvos saugomų teritorijų direkcijos lankytojų centrui – ypatinga dovana
116;Dienos horoskopas 12 Zodiako ženklų (balandžio 19 d.)
117;Pensininkas per parą aplankė 120 barų ir tapo pasaulio rekordininku
118;Sunkiai įsivaizduojamo statumo gatvė negąsdina vairuotojų: avarijų daug, bet sutrumpėja kelias
119;Atšilus orams viešose vietose lesinti paukščius draudžiama
120;Dienos horoskopas 12 Zodiako ženklų (balandžio 18 d.)
121;Nusikaltėlis apsiginklavo gyvate ir pabandė apiplėšti parduotuvę
122;Įspėjamieji pranešimai telefone: kodėl gauna ne visi?
